Candidate	Score
Solution 321	0.9941226930 [0.993146879064-0.995098506897]
Solution 322	0.9920546571 [0.991048064807-0.993061249386]
Solution 323	0.9930658067 [0.992080313092-0.994051300237]
Solution 324	0.9929372660 [0.991949093352-0.993925438606]
Solution 325	0.9926344931 [0.991644758247-0.993624227860]
Solution 326	0.9899660219 [0.988939319364-0.990992724463]
Solution 327	0.9897457742 [0.988727998976-0.990763549494]
Solution 328	0.9879860638 [0.986921051489-0.989051076033]
Solution 329	0.9866698439 [0.985581020917-0.987758666979]
Solution 330	0.9931092712 [0.992124448428-0.994094093972]
Solution 331	0.9941233156 [0.993147522728-0.995099108555]
Solution 332	0.9920549634 [0.991048378426-0.993061548386]
Solution 333	0.9930699418 [0.992084522166-0.994055361514]
Solution 334	0.9929431863 [0.991955184202-0.993931188367]
Solution 335	0.9926439259 [0.991654425565-0.993633426181]
Solution 336	0.9899729239 [0.988946348749-0.990999499082]
Solution 337	0.9897526762 [0.988735039718-0.990770312756]
Solution 338	0.9881232903 [0.987060108484-0.989186472163]
Solution 339	0.9868035580 [0.985716396323-0.987890719669]
Solution 340	0.9938971037 [0.993075052896-0.994719154542]
Solution 341	0.9910631415 [0.990202952924-0.991923329981]
Solution 342	0.9938971037 [0.993075052896-0.994719154542]
Solution 343	0.9910631415 [0.990202952924-0.991923329981]
Solution 344	0.9938971037 [0.993075052896-0.994719154542]
Solution 345	0.9910631415 [0.990202952924-0.991923329981]
Solution 346	0.9929823336 [0.991995401023-0.993969266210]
Solution 347	0.9927199810 [0.991732681757-0.993707280171]
Solution 348	0.9900434755 [0.989018333083-0.991068617881]
Solution 349	0.9898235718 [0.988807193899-0.990839949648]
Solution 350	0.9954168748 [0.994611280570-0.996222469118]
Solution 351	0.9939744217 [0.993154468139-0.994794375276]
Solution 352	0.9939040057 [0.993082134164-0.994725877278]
Solution 353	0.9910753273 [0.990215352922-0.991935301657]
Solution 354	0.9954168748 [0.994611280570-0.996222469118]
Solution 355	0.9939744217 [0.993154468139-0.994794375276]
Solution 356	0.9954168748 [0.994611280570-0.996222469118]
Solution 357	0.9939744217 [0.993154468139-0.994794375276]
Solution 358	0.9939040057 [0.993082134164-0.994725877278]
Solution 359	0.9910753273 [0.990215352922-0.991935301657]
Solution 360	0.9939040057 [0.993082134164-0.994725877278]
Solution 361	0.9910753273 [0.990215352922-0.991935301657]
Solution 362	0.9931765350 [0.992192569648-0.994160500277]
Solution 363	0.9941330497 [0.993157769175-0.995108330323]
Solution 364	0.9930953304 [0.992110577066-0.994080083656]
Solution 365	0.9927677213 [0.991781855380-0.993753587171]
Solution 366	0.9929857131 [0.991998867273-0.993972558850]
Solution 367	0.9927268830 [0.991739729630-0.993714036301]
Solution 368	0.9900503674 [0.989025329196-0.991075405686]
Solution 369	0.9898304738 [0.988814211354-0.990846736196]
Solution 370	0.9954168748 [0.994611280570-0.996222469118]
Solution 371	0.9939747280 [0.993154788966-0.994794667068]
Solution 372	0.9939747280 [0.993154788966-0.994794667068]
Solution 373	0.9939046284 [0.993082786587-0.994726470178]
Solution 374	0.9910794625 [0.990219587518-0.991939337412]
Solution 375	0.9954168748 [0.994611280570-0.996222469118]
Solution 376	0.9939747280 [0.993154788966-0.994794667068]
Solution 377	0.9939747280 [0.993154788966-0.994794667068]
Solution 378	0.9954168748 [0.994611280570-0.996222469118]
Solution 379	0.9939747280 [0.993154788966-0.994794667068]
Solution 380	0.9939747280 [0.993154788966-0.994794667068]
Solution 381	0.9939046284 [0.993082786587-0.994726470178]
Solution 382	0.9910794625 [0.990219587518-0.991939337412]
Solution 383	0.9939046284 [0.993082786587-0.994726470178]
Solution 384	0.9910794625 [0.990219587518-0.991939337412]
Solution 385	0.9931765350 [0.992192569648-0.994160500277]
Solution 386	0.9941330497 [0.993157769175-0.995108330323]
Solution 387	0.9930953304 [0.992110577066-0.994080083656]
Solution 388	0.9930953304 [0.992110577066-0.994080083656]
Solution 389	0.9927680276 [0.991782173576-0.993753881593]
Solution 390	0.9927680276 [0.991782173576-0.993753881593]
Solution 391	0.9929860194 [0.991999183471-0.993972855272]
Solution 392	0.9927275056 [0.991740376698-0.993714634557]
Solution 393	0.9900506738 [0.989025643484-0.991075704016]
Solution 394	0.9898346090 [0.988818428538-0.990850789363]
Solution 395	0.9956471240 [0.994867441169-0.996426806878]
Solution 396	0.9956386365 [0.994858734015-0.996418538973]
Solution 397	0.9946260018 [0.993833061747-0.995418941910]
