sep=,
"Input","Match type","Approved symbol","Approved name","HGNC ID","Location"
"LPPR4","Alias symbol","PLPPR4","phospholipid phosphatase related 4","HGNC:23496","1p21.3-p21.2"
"FLJ00273","Unmatched","","","",""
"AC079341.1","Unmatched","","","",""
"CTC-554D6.1","Unmatched","","","",""
"AP000322.54","Unmatched","","","",""
"CTD-2410N18.5","Unmatched","","","",""
"AC104472.1","Unmatched","","","",""
"AC087645.1","Unmatched","","","",""
"AC127496.1","Unmatched","","","",""
"RP11-47I22.4","Unmatched","","","",""
"AL645728.1","Unmatched","","","",""
"AC007401.2","Unmatched","","","",""
"RP11-944C7.1","Unmatched","","","",""
"AL117190.2","Unmatched","","","",""
"RP11-307N16.6","Unmatched","","","",""
"AP000679.2","Unmatched","","","",""
"CTD-2207O23.12","Unmatched","","","",""
"AC132216.1","Unmatched","","","",""
"AC120194.1","Unmatched","","","",""
"RP11-156P1.2","Unmatched","","","",""
"RP11-9B6.1","Unmatched","","","",""
"LPPR1","Alias symbol","PLPPR1","phospholipid phosphatase related 1","HGNC:25993","9q31.1"
"AC110619.2","Unmatched","","","",""
"AC140481.2","Unmatched","","","",""
"RP11-297N6.4","Unmatched","","","",""
"AP005482.1","Unmatched","","","",""
"AC131971.1","Unmatched","","","",""
"CTD-2330K9.3","Unmatched","","","",""
"AL450307.1","Unmatched","","","",""
"RP11-298I3.5","Unmatched","","","",""
"AC019294.1","Unmatched","","","",""
"RP11-650K20.3","Unmatched","","","",""
"RP11-977G19.10","Unmatched","","","",""
"AP000889.3","Unmatched","","","",""
"RP5-1052I5.2","Unmatched","","","",""
"RP11-248J23.7","Unmatched","","","",""
"RP11-1026M7.2","Unmatched","","","",""
"RP11-1212A22.4","Unmatched","","","",""
"AC062017.1","Unmatched","","","",""
"DKFZP434E1119","Unmatched","","","",""
"AL020996.1","Unmatched","","","",""
"RP11-986E7.7","Unmatched","","","",""
"RP11-181C3.1","Unmatched","","","",""
"AP000275.65","Unmatched","","","",""
"AC007952.6","Unmatched","","","",""
"AC092811.1","Unmatched","","","",""
"AP001631.10","Unmatched","","","",""
"RP11-542C16.2","Unmatched","","","",""
"AC006449.1","Unmatched","","","",""
"CTC-490E21.12","Unmatched","","","",""
"BX842679.1","Unmatched","","","",""
"AL133373.1","Unmatched","","","",""
"RP11-463D19.2","Unmatched","","","",""
"RP11-127H5.1","Unmatched","","","",""
"RP11-1220K2.2","Unmatched","","","",""
"RP4-559A3.7","Unmatched","","","",""
"AC135983.2","Unmatched","","","",""
"hsa-mir-1199","Alias symbol","MIR1199","microRNA 1199","HGNC:50081","19p13.12"
"RP1-27O5.3","Unmatched","","","",""
"RP11-47I22.3","Unmatched","","","",""
"RP11-613M10.9","Unmatched","","","",""
"RP11-723O4.6","Unmatched","","","",""
"RP11-171N4.2","Unmatched","","","",""
"RP11-729L2.2","Unmatched","","","",""
"KB-1980E6.3","Alias symbol","LINC03047","long intergenic non-protein coding RNA 3047","HGNC:56265","8q22.3"
"CTD-2583A14.10","Unmatched","","","",""
"AL627309.1","Unmatched","","","",""
"AP001055.1","Unmatched","","","",""
"RP11-257K9.8","Unmatched","","","",""
"CTD-2105E13.6","Unmatched","","","",""
"AC011551.3","Unmatched","","","",""
"AL355149.2","Unmatched","","","",""
"FLJ14816","Alias symbol","LINC01101","long intergenic non-protein coding RNA 1101","HGNC:25923","2q14.2"
"C6orf165","Previous symbol","CFAP206","cilia and flagella associated protein 206","HGNC:21405","6q15"
"RP11-166N6.3","Unmatched","","","",""
"CTD-3148I10.9","Unmatched","","","",""
"RP11-145E5.5","Unmatched","","","",""
"AC092850.1","Unmatched","","","",""
"RP1-309K20.6","Unmatched","","","",""
"RP11-389E17.1","Unmatched","","","",""
"RP11-477N12.3","Unmatched","","","",""
"RP11-1C1.5","Unmatched","","","",""
"AL136531.1","Unmatched","","","",""
"AC027307.3","Unmatched","","","",""
"RP11-195F19.5","Unmatched","","","",""
"AL356356.1","Unmatched","","","",""
"CTD-3193O13.9","Unmatched","","","",""
"AL021546.6","Unmatched","","","",""
"AC007461.1","Unmatched","","","",""
"AC079602.1","Unmatched","","","",""
"CTB-58E17.5","Unmatched","","","",""
"AC079354.1","Unmatched","","","",""
"RP11-162P23.2","Unmatched","","","",""
"RP11-1167A19.2","Unmatched","","","",""
"RP11-169F17.1","Alias symbol","LINC02864","long intergenic non-protein coding RNA 2864","HGNC:54480","18q22.3"
"FKSG63","Unmatched","","","",""
"AC138517.1","Unmatched","","","",""
"RP11-690P14.4","Unmatched","","","",""
"RP1-317E23.6","Unmatched","","","",""
"CTD-3214H19.16","Unmatched","","","",""
"RP3-422G23.4","Unmatched","","","",""
"RP11-1099M24.7","Unmatched","","","",""
"AC105020.1","Unmatched","","","",""
"AC114494.1","Unmatched","","","",""
"AC068987.1","Unmatched","","","",""
"AC136604.1","Unmatched","","","",""
"RP11-204N11.1","Unmatched","","","",""
"RP1-4G17.5","Unmatched","","","",""
"RP11-867G23.8","Unmatched","","","",""
"AC135048.1","Unmatched","","","",""
"AC005544.1","Unmatched","","","",""
"AC079354.2","Unmatched","","","",""
"AP001816.1","Unmatched","","","",""
"FLJ00388","Unmatched","","","",""
"SELV","Alias symbol","SELENOV","selenoprotein V","HGNC:30399","19q13.2"
"CTC-398G3.6","Unmatched","","","",""
"AL445665.1","Unmatched","","","",""
"AC026703.1","Unmatched","","","",""
"AC005003.1","Unmatched","","","",""
"RP11-399J13.3","Unmatched","","","",""
"AL358813.2","Unmatched","","","",""
"AL590560.1","Unmatched","","","",""
"LPPR3","Alias symbol","PLPPR3","phospholipid phosphatase related 3","HGNC:23497","19p13.3"
"AC004076.7","Unmatched","","","",""
"RP11-146D12.2","Unmatched","","","",""
"AC006967.1","Unmatched","","","",""
"RP11-1084J3.4","Unmatched","","","",""
"AL139099.1","Unmatched","","","",""
"AL133481.1","Unmatched","","","",""
"AC007431.1","Unmatched","","","",""
"RP11-6L6.2","Unmatched","","","",""
"AC025263.3","Unmatched","","","",""
"RP11-934B9.3","Unmatched","","","",""
"RP11-247C2.2","Unmatched","","","",""
"RP11-1055B8.6","Unmatched","","","",""
"AC006547.14","Unmatched","","","",""
"RP11-680G10.1","Unmatched","","","",""
"RP11-758M4.1","Unmatched","","","",""
"RP11-446E24.4","Unmatched","","","",""
"AC022532.1","Unmatched","","","",""
"RP11-366L20.2","Alias symbol","HMGA2-AS1","HMGA2 antisense RNA 1","HGNC:53973","12q14.3"
"AL627171.2","Unmatched","","","",""
"RP11-468E2.6","Unmatched","","","",""
"AC019206.1","Unmatched","","","",""
"AC132192.1","Unmatched","","","",""
"RAD51L3-RFFL","Unmatched","","","",""
"CTD-2207O23.3","Unmatched","","","",""
"RP11-116D17.1","Unmatched","","","",""
"AL358113.1","Unmatched","","","",""
"AC040160.1","Unmatched","","","",""
"AP000322.53","Unmatched","","","",""
"RP11-287D1.3","Unmatched","","","",""
"RP11-231C14.4","Unmatched","","","",""
"RP11-321N4.5","Unmatched","","","",""
"AC019171.1","Unmatched","","","",""
"RP11-345J4.3","Unmatched","","","",""
"RP11-81K2.1","Unmatched","","","",""
"RP11-368I7.4","Unmatched","","","",""
"AP000295.9","Unmatched","","","",""
"KIAA1658","Alias symbol","SEC14L2","SEC14 like lipid binding 2","HGNC:10699","22q12.2"
"AP003733.1","Unmatched","","","",""
"AL590822.1","Unmatched","","","",""
"AP000695.1","Unmatched","","","",""
"RP11-565P22.6","Unmatched","","","",""
"RP11-691N7.6","Unmatched","","","",""
"AC090616.2","Unmatched","","","",""
"RP11-77K12.7","Unmatched","","","",""
"AP003068.6","Unmatched","","","",""
"AC007557.1","Unmatched","","","",""
"AC096677.1","Unmatched","","","",""
"RP11-51L5.7","Unmatched","","","",""
"AL391421.1","Unmatched","","","",""
"FLJ45079","Unmatched","","","",""
"CTD-2547L24.3","Unmatched","","","",""
"AL354993.1","Unmatched","","","",""
"CTD-2545G14.7","Unmatched","","","",""
"RP11-595B24.2","Unmatched","","","",""
"RP11-89N17.1","Unmatched","","","",""
"RP11-382J12.1","Unmatched","","","",""
"AC187652.1","Unmatched","","","",""
"AC092687.4","Unmatched","","","",""
"AP001885.1","Unmatched","","","",""
"CTD-3214H19.4","Unmatched","","","",""
"AL139147.1","Unmatched","","","",""
"CTD-2014B16.3","Unmatched","","","",""
"AC006126.3","Unmatched","","","",""
"CTC-360G5.1","Unmatched","","","",""
"AC011530.4","Unmatched","","","",""
"AC040977.1","Unmatched","","","",""
"RP11-849F2.7","Unmatched","","","",""
"AC021218.2","Unmatched","","","",""
"AC024592.12","Unmatched","","","",""
"AL137798.1","Unmatched","","","",""
"GS1-259H13.10","Unmatched","","","",""
"C15orf37","Previous symbol","ST20-AS1","ST20 antisense RNA 1","HGNC:27521","15q25.1"
"AC117395.1","Unmatched","","","",""
"AC074212.3","Unmatched","","","",""
"RP11-403P17.5","Unmatched","","","",""
"AC135178.1","Unmatched","","","",""
"RP11-542P2.1","Unmatched","","","",""
"HBCBP","Unmatched","","","",""
"RP11-166B2.1","Unmatched","","","",""
"AC068620.1","Unmatched","","","",""
"BX649567.1","Unmatched","","","",""
"FP15737","Unmatched","","","",""
"RP11-625H11.1","Unmatched","","","",""
"AC023632.1","Unmatched","","","",""
"SELM","Alias symbol","SELENOM","selenoprotein M","HGNC:30397","22q12.2"
"DKFZP667F0711","Unmatched","","","",""
"AL035252.1","Unmatched","","","",""
"AL590714.1","Unmatched","","","",""
"SELK","Alias symbol","SELENOK","selenoprotein K","HGNC:30394","3p21.1"
"FLJ20306","Unmatched","","","",""
"AC005606.1","Unmatched","","","",""
"AC022498.1","Unmatched","","","",""
"XXcos-LUCA11.5","Unmatched","","","",""
"AF131215.5","Unmatched","","","",""
"AC114546.1","Unmatched","","","",""
"AC116407.2","Unmatched","","","",""
"C17orf61-PLSCR3","Unmatched","","","",""
"CTC-534A2.2","Alias symbol","SHLD3","shieldin complex subunit 3","HGNC:53826","5q12.3"
"RP11-293I14.2","Unmatched","","","",""
"RP1-66C13.4","Unmatched","","","",""
"AC068533.7","Unmatched","","","",""
"FKSG48","Unmatched","","","",""
"AC002472.13","Unmatched","","","",""
"AC004381.6","Unmatched","","","",""
"RP11-15E18.4","Unmatched","","","",""
"AC002985.3","Unmatched","","","",""
"RP11-105C20.2","Unmatched","","","",""
"AC069368.3","Unmatched","","","",""
"RP11-480I12.4","Unmatched","","","",""
"RP11-385D13.1","Unmatched","","","",""
"RP11-195B21.3","Unmatched","","","",""
"RP4-758J18.2","Unmatched","","","",""
"RP11-618P17.4","Unmatched","","","",""
"RP11-125O5.2","Unmatched","","","",""
"RP11-122A3.2","Unmatched","","","",""
"CTD-2369P2.12","Unmatched","","","",""
"PAPL","Alias symbol","ACP7","acid phosphatase 7, tartrate resistant (putative)","HGNC:33781","19q13.2"
"RP11-536G4.1","Unmatched","","","",""
"AC003005.4","Unmatched","","","",""
"PP13439","Unmatched","","","",""
"RP11-139J15.7","Unmatched","","","",""
